Run,Fe_peak,Corr,Evaluated
40785,9027.222185939974,9027.222185939974,0
40787,9072.271318007684,9072.271318007684,0
40789,9124.460686306997,9124.460686306997,0
40791,9196.899066685815,9196.899066685815,0
40793,9195.176852549599,9195.176852549599,0
40795,9242.335257333554,9242.335257333554,0
40797,9451.662671769345,9451.662671769345,0
40799,9302.932623018925,9302.932623018925,0
40801,9351.18588188131,9351.18588188131,0
40803,9532.788427610114,9532.788427610114,0
40805,9468.028739512569,9468.028739512569,0
40807,9433.446721642324,9433.446721642324,0
40809,9535.969709472512,9535.969709472512,0
40811,9651.475724309576,9651.475724309576,0
40813,9727.609991163814,9727.609991163814,0
40815,9739.284153943212,9739.284153943212,0
40817,9900.952509823755,9900.952509823755,0
40819,9963.626083450921,9963.626083450921,0
40821,9904.761979662744,9904.761979662744,0
40823,9940.059114960508,9940.059114960508,0
40825,9987.455355740589,9987.455355740589,0
40827,10054.804595735588,10054.804595735588,0
40829,10082.325113556466,10082.325113556466,0
40831,9979.771541959706,9979.771541959706,0
40833,10014.609118829556,10014.609118829556,0
40835,10055.699820128259,10055.699820128259,0
40837,9947.10295590885,9947.10295590885,0
40839,10005.040739349191,10005.040739349191,0
40841,9892.986173242141,9892.986173242141,0
40843,9955.099329877356,9955.099329877356,0
40845,9822.712429996316,9822.712429996316,0
40847,10038.3058064069,10038.3058064069,0
40849,9993.49578918928,9993.49578918928,0
40851,10077.775775495997,10077.775775495997,0
40853,9793.002170887115,9793.002170887115,0
40855,10000.92482274401,10000.92482274401,0
40857,10017.738249919294,10017.738249919294,0
40859,9908.98350688372,9908.98350688372,0
40861,9949.393308786093,9949.393308786093,0
40863,9943.394542720896,9943.394542720896,0
40865,9878.30600366255,9878.30600366255,0
40867,9895.05268926417,9895.05268926417,0
40869,9780.502158520805,9780.502158520805,0
40871,9861.100305477155,9861.100305477155,0
40873,9772.020251431912,9772.020251431912,0
40875,9799.163079237296,9799.163079237296,0
40877,9786.602208904247,9786.602208904247,0
40879,9787.927355227408,9787.927355227408,0
40881,9716.281350488405,9716.281350488405,0
40883,9765.777507364615,9765.777507364615,0
40885,9806.878610580041,9806.878610580041,0
40887,9840.24077574001,9840.24077574001,0
40889,9653.547300104974,9653.547300104974,0
40891,9595.19407819282,9595.19407819282,0
40893,9687.037788164409,9687.037788164409,0
40895,9565.267464865015,9565.267464865015,0
40897,9778.333747083474,9778.333747083474,0
40899,9727.54921950711,9727.54921950711,0
40901,9804.36756853576,9804.36756853576,0
40903,9831.121653554072,9831.121653554072,0
40905,9935.203978580086,9935.203978580086,0
40907,9806.530439453005,9806.530439453005,0
40909,9765.359589208518,9765.359589208518,0
40911,9686.491970199088,9686.491970199088,0
40913,9836.272947851749,9836.272947851749,0
40915,9961.812968225026,9961.812968225026,0
40917,9811.344547695437,9811.344547695437,0
40920,0.0,9811.344547695437,0
40921,0.0,9811.344547695437,0
40923,0.0,9811.344547695437,0
40924,0.0,9811.344547695437,0
40925,0.0,9811.344547695437,0
40926,0.0,9811.344547695437,0
40927,0.0,9811.344547695437,0
40928,0.0,9811.344547695437,0
40930,0.0,9811.344547695437,0
40931,0.0,9811.344547695437,0
40932,0.0,9811.344547695437,0
40933,0.0,9811.344547695437,0
40934,0.0,9811.344547695437,0
40935,0.0,9811.344547695437,0
